GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TestyJednostkowe,default,Test,48,0,0,0,11,0,2,0,2,0
TestyJednostkowe,model.exceptions,UserUnnkownOrBadPasswordException,0,4,0,0,0,2,0,1,0,1
TestyJednostkowe,model.exceptions,OperationIsNotAllowedException,0,4,0,0,0,2,0,1,0,1
TestyJednostkowe,biz,BankHistory,0,57,0,0,0,17,0,8,0,8
TestyJednostkowe,biz,AuthenticationManager,3,146,2,14,2,36,2,12,0,6
TestyJednostkowe,biz,AccountManager,41,202,2,16,12,46,2,15,0,8
TestyJednostkowe,biz,InterestOperator,0,50,0,0,0,13,0,2,0,2
TestyJednostkowe,model.operations,OperationType,0,49,0,0,0,10,0,3,0,3
TestyJednostkowe,model.operations,PaymentIn,0,8,0,0,0,2,0,1,0,1
TestyJednostkowe,model.operations,Withdraw,0,8,0,0,0,2,0,1,0,1
TestyJednostkowe,model.operations,LogOut,0,6,0,0,0,2,0,1,0,1
TestyJednostkowe,model.operations,Payment,0,18,0,0,0,6,0,3,0,3
TestyJednostkowe,model.operations,LogIn,0,6,0,0,0,2,0,1,0,1
TestyJednostkowe,model.operations,LogOperation,0,6,0,0,0,2,0,1,0,1
TestyJednostkowe,model.operations,Interest,0,8,0,0,0,2,0,1,0,1
TestyJednostkowe,db.dao.impl,DAOImpl,379,0,28,0,120,0,29,0,13,0
TestyJednostkowe,db.dao.impl,SQLiteDB,110,5,2,0,34,2,4,2,3,2
TestyJednostkowe,model,Account,0,57,0,6,0,16,0,12,0,9
TestyJednostkowe,model,User,0,24,0,0,0,10,0,7,0,7
TestyJednostkowe,model,Password,0,17,0,0,0,7,0,5,0,5
TestyJednostkowe,model,Role,0,17,0,0,0,7,0,5,0,5
TestyJednostkowe,model,Operation,0,29,0,0,0,10,0,5,0,5
TestyJednostkowe,exchange,CurrencyExchange.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
TestyJednostkowe,exchange,Rate,0,31,0,0,0,13,0,9,0,9
TestyJednostkowe,exchange,CurrencyExchange,0,98,1,13,0,15,1,10,0,4
TestyJednostkowe,exchange,CurrencyExchangeIsNotInitialized,0,3,0,0,0,1,0,1,0,1
TestyJednostkowe,gui,Application,89,0,2,0,27,0,4,0,3,0
TestyJednostkowe,gui,LoginForm.new ActionListener() {...},10,0,0,0,3,0,2,0,2,0
TestyJednostkowe,gui,Application.new ActionListener() {...},83,0,4,0,17,0,4,0,2,0
TestyJednostkowe,gui,LoginForm,14,0,0,0,4,0,1,0,1,0
